"field" "block_n" "trt_id" "entropy" "lower_ci" "upper_ci" "sigma" "mean_post" "posterior_prob"
"1" 1 4 1 1.57861340388629 -5.501416145 -0.852812321500002 1.17312939022086 -3.23359332636667 NA
"2" 1 4 2 1.34813450943719 -3.0031032425 0.6016771535 0.931644454408293 -1.21450006769667 0.893333333333333
"3" 1 4 3 1.93897849626594 -4.8889165975 1.1745722175 1.68209487001606 -0.905052076785333 0.86
"4" 1 4 4 1.85386899540062 -3.49948949 1.25413014 1.54485562934813 -0.762981374543333 0.886666666666667
"5" 1 4 5 1.23554388662054 -3.51036927 -0.385171754000001 0.832439571470652 -2.3660068285 0.82
"6" 1 4 6 1.68057888839558 -1.037457295 4.04895687 1.29905925848728 1.17316113207333 0.99
"7" 1 4 7 1.95448851023309 -2.79353261 3.1465773525 1.70838755784198 -0.599207836143667 0.93
"8" 1 4 8 2.64526812497785 -6.6548668175 3.0623805 3.40869524430976 -1.541449650735 0.57
"9" 1 4 9 2.03472074896249 -2.5094167225 3.29023278 1.85110399611145 1.03602480442267 0.98
"10" 1 4 10 1.66757557917478 -0.63064580625 4.7294225675 1.28227654116078 1.77646686797333 1
"11" 1 4 11 1.32938057794424 -0.53384670975 3.0896536075 0.91433527304986 1.41760253757167 1
"12" 1 4 12 1.96314354112323 -1.52965768 4.6416772575 1.72323787721142 1.05378470514333 0.986666666666667
"13" 1 4 13 1.88069459699386 0.17902890175 5.28727442 1.58685816384128 2.63750504391333 1
"14" 1 4 14 1.89429801635894 1.010422978 7.5012466425 1.60859235541439 4.84779026010667 1
"15" 1 4 15 1.75647570406356 0.121370453 4.890273665 1.40149170207407 3.32460372857033 1
"16" 1 6 1 1.42351914449434 -7.19076806 -3.293415865 1.00459111832632 -4.88059697066667 NA
"17" 1 6 2 1.87676056448744 -2.4325063925 3.238382375 1.58062767574855 0.170200319975333 0.996666666666667
"18" 1 6 3 2.1637859121391 -4.626815395 1.8970291625 2.10611997217597 -0.576927879913333 0.99
"19" 1 6 4 1.67440114440898 -3.4493814775 0.980494729499999 1.29105874098401 -1.53783707869 0.98
"20" 1 6 5 2.2460007121609 -5.069116305 2.01106957 2.28659126710369 -1.87102412080767 0.87
"21" 1 6 6 1.37559964308101 -1.1861468725 2.903945665 0.957586818357777 1.08972402021 1
"22" 1 6 7 1.84015990498543 -2.99303916 2.773642145 1.5238215721687 0.467316492936 1
"23" 1 6 8 1.43416258127479 -1.885257965 2.3933684125 1.01534052421878 -0.109187160294 1
"24" 1 6 9 1.75244338509411 -4.070646815 1.21325472 1.39585181904379 -1.49222091409667 1
"25" 1 6 10 1.84527247125365 -1.6946899075 3.61143257 1.53163215999832 0.766741620476667 1
"26" 1 6 11 1.42533516895162 -0.5793147535 4.171051155 1.00641713791304 2.16366933743333 1
"27" 1 6 12 1.68470444055469 -2.62404632 2.849352425 1.30442966554606 0.415586098560667 1
"28" 1 6 13 1.43639044550956 -0.820602012 2.942400975 1.01760508669102 1.52038289215667 1
"29" 1 6 14 1.67836171842101 -0.84918426975 4.38174216749999 1.29618221393117 1.48409682042267 1
"30" 1 6 15 1.45072884758011 2.9865234675 5.78020877 1.03230102392446 4.33990576033333 1
"31" 1 10 1 2.31024412044175 -5.085062405 1.32108818 2.43831100179663 -2.23923980003333 NA
"32" 1 10 2 2.36543426994759 -2.6395000325 4.8171274875 2.57666450951238 0.3745482569 0.95
